fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes
CEMADEN,260290203A,Torrinha,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.287,-8.287,-35.033,-35.033,75777,2017-01-01T03:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1660,0
CEMADEN,260290204A,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.33,-8.33,-34.956,-34.956,78032,2017-01-01T03:00:00Z,2025-09-19T11:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0
CEMADEN,260290205A,Pontes dos Carvalhos,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.233,-8.233,-34.979,-34.979,61197,2017-01-01T03:00:00Z,2025-03-26T20:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,2,0
CEMADEN,260290206A,CABO DE SANTO AGOSTINHO - APAC,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.280706,-8.280706,-35.159274,-35.159274,411,2019-05-02T14:10:00Z,2020-08-10T14:50:00Z,2019;2020,0,0,0,0
CEMADEN,260300901A,BR428-km05,CABROBÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.528,-8.50897,-39.31329,-39.268,66641,2017-01-01T03:00:00Z,2025-12-14T11:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1518,0
CEMADEN,260300901C,CABROBO,CABROBÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.469166,-8.469166,-39.286972,-39.286972,14980,2018-02-16T20:50:00Z,2020-06-27T14:00:00Z,2018;2019;2020,0,0,0,0
CEMADEN,260300902A,NOVO MURICI - APAC,CABROBÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.340333,-8.340333,-39.135194,-39.135194,22805,2018-01-26T18:40:00Z,2025-10-21T13:20:00Z,2018;2020;2021;2024;2025,0,0,1002,0
CEMADEN,260310801A,Centro,CACHOEIRINHA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.484,-8.484,-36.238,-36.238,79188,2017-01-01T03:00:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1534,0
CEMADEN,260310802A,CACHOEIRINHA - APAC,CACHOEIRINHA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.492452,-8.492452,-36.238116,-36.238116,26137,2017-11-25T05:10:00Z,2021-12-14T10:10:00Z,2017;2018;2019;2020;2021,0,0,0,0
CEMADEN,260320701A,CAETES - APAC,CAETÉS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.773333,-8.773333,-36.621667,-36.621667,68569,2017-12-06T11:50:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1400,0
