fonte_dados,cod_estacao,nome_estacao,ano,n_registros,n_registros_com_valor,n_registros_sem_valor,n_datas_com_registro,n_meses_com_registro,inicio,fim,precipitacao_min,precipitacao_max
CEMADEN,260130002A,BARRA DE GUABIRABA - APAC,2023,5,5,0,1,1,2023-07-27T13:10:00Z,2023-07-27T18:30:00Z,0,0.2
CEMADEN,260130016H,Centro,2023,7424,7424,0,237,8,2023-05-09T19:10:00Z,2024-01-01T02:10:00Z,0,9.6
CEMADEN,260130016H,Centro,2024,10607,10607,0,366,12,2024-01-01T03:10:00Z,2025-01-01T02:10:00Z,0,39.2
CEMADEN,260130016H,Centro,2025,11967,11967,0,365,12,2025-01-01T03:10:00Z,2025-12-31T23:10:00Z,0,13.8
CEMADEN,260140901A,Barreiros,2017,13749,13749,0,365,12,2017-01-01T03:00:00Z,2018-01-01T02:10:00Z,0,14.47
CEMADEN,260140901A,Barreiros,2018,10535,10535,0,365,12,2018-01-01T03:10:00Z,2019-01-01T02:10:00Z,0,13.42
CEMADEN,260140901A,Barreiros,2019,10469,10469,0,363,12,2019-01-01T03:10:00Z,2020-01-01T02:10:00Z,0,12.2
CEMADEN,260140901A,Barreiros,2020,9786,9786,0,366,12,2020-01-01T03:10:00Z,2021-01-01T02:10:00Z,0,12.4
CEMADEN,260140901A,Barreiros,2021,8216,8216,0,344,12,2021-01-01T03:10:00Z,2021-12-13T13:40:00Z,0,6.3
CEMADEN,260140901A,Barreiros,2022,8619,8619,0,273,10,2022-01-19T20:40:00Z,2023-01-01T02:20:00Z,0,36.3
