cod_estacao,nome_estacao,tipo_estacao,ano,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms
A350,SERRA TALHADA,AUTOMATICA,2017,100,100,100,100,100
A350,SERRA TALHADA,AUTOMATICA,2018,88.6529680365297,88.6529680365297,88.6529680365297,88.6529680365297,88.6529680365297
A350,SERRA TALHADA,AUTOMATICA,2019,100,100,100,100,100
A350,SERRA TALHADA,AUTOMATICA,2020,100,100,100,100,100
A350,SERRA TALHADA,AUTOMATICA,2021,52.5342465753425,52.5799086757991,52.5799086757991,52.5799086757991,52.5342465753425
A350,SERRA TALHADA,AUTOMATICA,2022,0,0,0,0,0
A350,SERRA TALHADA,AUTOMATICA,2023,83.5844748858448,83.5844748858448,83.5844748858448,83.5844748858448,83.5844748858448
A350,SERRA TALHADA,AUTOMATICA,2024,69.9225865209472,69.9225865209472,69.9225865209472,69.9225865209472,69.9225865209472
A350,SERRA TALHADA,AUTOMATICA,2025,28.5942674431883,28.7198812378669,28.7198812378669,28.7198812378669,28.5942674431883
A351,FLORESTA,AUTOMATICA,2017,80.0228310502283,80.0228310502283,80.0228310502283,80.0228310502283,80.0228310502283
A351,FLORESTA,AUTOMATICA,2018,99.9885844748859,100,100,100,99.9885844748859
A351,FLORESTA,AUTOMATICA,2019,91.2100456621005,91.2100456621005,91.2100456621005,91.2100456621005,91.2100456621005
A351,FLORESTA,AUTOMATICA,2020,99.9886156648452,100,100,100,100
A351,FLORESTA,AUTOMATICA,2021,73.3904109589041,73.3904109589041,73.3904109589041,73.3904109589041,73.3904109589041
A351,FLORESTA,AUTOMATICA,2022,34.9315068493151,34.9315068493151,34.9315068493151,34.9315068493151,34.9315068493151
A351,FLORESTA,AUTOMATICA,2023,99.9885844748859,100,100,100,99.9885844748859
A351,FLORESTA,AUTOMATICA,2024,98.9184881602915,98.9184881602915,98.9184881602915,98.9184881602915,98.9184881602915
A351,FLORESTA,AUTOMATICA,2025,30.7639602603631,30.775379696243,30.775379696243,30.775379696243,30.7639602603631
A357,PALMARES,AUTOMATICA,2017,61.7123287671233,61.7123287671233,61.7123287671233,19.5433789954338,61.7123287671233
A357,PALMARES,AUTOMATICA,2018,70.9589041095891,82.2146118721461,82.2146118721461,82.1461187214612,70.9589041095891
A357,PALMARES,AUTOMATICA,2019,63.8698630136986,59.4063926940639,75.6050228310502,72.865296803653,63.8584474885845
A357,PALMARES,AUTOMATICA,2020,99.9772313296904,92.6457194899818,99.9886156648452,100,99.9886156648452
A357,PALMARES,AUTOMATICA,2021,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,73.2876712328767
A357,PALMARES,AUTOMATICA,2022,56.2100456621005,56.2442922374429,56.1872146118721,41.9063926940639,56.1986301369863
A357,PALMARES,AUTOMATICA,2023,99.9657534246575,99.9771689497717,99.9771689497717,87.0890410958904,99.9657534246575
A357,PALMARES,AUTOMATICA,2024,100,100,99.9886156648452,100,100
A357,PALMARES,AUTOMATICA,2025,99.9771611282403,99.9771611282403,99.9771611282403,75.9049902934795,99.9771611282403
A366,OURICURI,AUTOMATICA,2017,90.5821917808219,91.1187214611872,91.1187214611872,91.0616438356164,90.5821917808219
A366,OURICURI,AUTOMATICA,2018,87.9452054794521,88.013698630137,88.013698630137,88.0022831050228,87.9452054794521
A366,OURICURI,AUTOMATICA,2019,81.8264840182648,80.5479452054795,81.9520547945206,81.9520547945206,81.8264840182648
A366,OURICURI,AUTOMATICA,2020,75.9448998178506,76.3319672131148,76.3319672131148,73.7021857923497,75.9790528233151
A366,OURICURI,AUTOMATICA,2021,38.3904109589041,38.3447488584475,38.3904109589041,38.3561643835616,38.3904109589041
A366,OURICURI,AUTOMATICA,2022,34.3493150684932,34.3493150684932,34.3493150684932,33.6643835616438,34.3493150684932
A366,OURICURI,AUTOMATICA,2023,53.37899543379,54.1210045662101,54.0981735159817,52.9337899543379,53.4018264840183
A366,OURICURI,AUTOMATICA,2024,83.6520947176685,83.8228597449909,83.8228597449909,79.9749544626594,83.6520947176685
A366,OURICURI,AUTOMATICA,2025,99.1092840013703,99.1435423090099,99.1435423090099,97.8988237981044,99.0978645654905
A370,SALGUEIRO,AUTOMATICA,2017,78.6177930507827,78.6177930507827,78.6177930507827,78.6177930507827,78.6177930507827
A370,SALGUEIRO,AUTOMATICA,2018,99.3036529680365,99.3036529680365,99.3036529680365,99.3036529680365,99.3036529680365
A370,SALGUEIRO,AUTOMATICA,2019,84.9885844748859,84.9885844748859,84.9885844748859,84.9885844748859,84.9885844748859
A370,SALGUEIRO,AUTOMATICA,2020,32.5705828779599,32.6502732240437,32.6502732240437,32.6502732240437,32.5705828779599
A370,SALGUEIRO,AUTOMATICA,2021,30.6392694063927,30.6392694063927,30.6392694063927,30.6392694063927,30.6392694063927
A370,SALGUEIRO,AUTOMATICA,2022,51.5296803652968,51.5296803652968,51.541095890411,51.541095890411,51.5296803652968
A370,SALGUEIRO,AUTOMATICA,2023,96.4497716894977,96.4497716894977,96.4497716894977,96.4497716894977,96.4497716894977
A370,SALGUEIRO,AUTOMATICA,2024,95.856102003643,95.856102003643,95.8902550091075,95.8902550091075,95.856102003643
A370,SALGUEIRO,AUTOMATICA,2025,96.5855886719196,96.6883635948384,97.0652049788741,96.9281717483156,96.5855886719196
