fonte_dados,cod_estacao,ano,n_antes,n_duplicatas_exatas_removiveis,n_depois,n_arquivos
CEMADEN,261600101C,2017,10894,1,10893,13
CEMADEN,261610001A,2025,9834,769,9065,13
CEMADEN,261618301A,2025,5604,17,5587,11
CEMADEN,261618301C,2017,9613,1,9612,9
CEMADEN,261618301C,2025,3597,742,2855,6
CEMADEN,261630801A,2017,12027,1,12026,13
CEMADEN,261630801A,2025,9489,815,8674,12
CEMADEN,261640702A,2017,11430,1,11429,13
CEMADEN,261640702A,2025,9028,158,8870,13
CEMADEN,261640703A,2017,10630,1,10629,13
CEMADEN,261640703A,2025,10241,744,9497,13
CEMADEN,261640704A,2017,12125,4,12121,13
CEMADEN,261640704A,2025,11036,773,10263,13
CEMADEN,261650601A,2017,13247,1,13246,13
CEMADEN,261650601A,2025,11812,779,11033,13
