estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,precip_diaria_final_mm,n_registros_final,n_registros_00h_relocados,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao_final,flag_borda_2025
IPOJUCA,2025,2025-07-04,261420401A,Centro,SIRINHAÉM,19.951784019321,2,27,1,1.38,27,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-05,261420401A,Centro,SIRINHAÉM,19.951784019321,0.2,25,1,0.2,25,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-06,261420401A,Centro,SIRINHAÉM,19.951784019321,0,24,1,0,24,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-07,261420401A,Centro,SIRINHAÉM,19.951784019321,16.31,35,1,8.39,35,100,FALSE,FALSE,FALSE,TRUE,15.1169047619048,TRUE,FALSE
IPOJUCA,2025,2025-07-08,261420401A,Centro,SIRINHAÉM,19.951784019321,8.28,32,1,1.98,32,60,TRUE,TRUE,TRUE,TRUE,13.142625,TRUE,FALSE
IPOJUCA,2025,2025-07-09,261420401A,Centro,SIRINHAÉM,19.951784019321,20.72,45,1,9.23,45,80,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-10,261420401A,Centro,SIRINHAÉM,19.951784019321,40.55,48,1,5.24,48,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-11,261420401A,Centro,SIRINHAÉM,19.951784019321,15.79,47,1,2.36,47,70,FALSE,TRUE,TRUE,TRUE,21.1357083333333,TRUE,FALSE
IPOJUCA,2025,2025-07-12,261420401A,Centro,SIRINHAÉM,19.951784019321,10.29,41,1,1.57,41,70,FALSE,TRUE,TRUE,TRUE,13.7614583333333,TRUE,FALSE
IPOJUCA,2025,2025-07-13,261420401A,Centro,SIRINHAÉM,19.951784019321,5.56,33,1,1.77,33,60,TRUE,TRUE,TRUE,TRUE,11.2981666666667,TRUE,FALSE
IPOJUCA,2025,2025-07-14,261420401A,Centro,SIRINHAÉM,19.951784019321,49.73,56,1,6.71,56,60,TRUE,TRUE,TRUE,TRUE,12.7907916666667,TRUE,FALSE
IPOJUCA,2025,2025-07-15,261420401A,Centro,SIRINHAÉM,19.951784019321,3.8,31,1,0.98,31,60,TRUE,TRUE,TRUE,TRUE,11.8833333333333,TRUE,FALSE
IPOJUCA,2025,2025-07-16,261420401A,Centro,SIRINHAÉM,19.951784019321,4.16,26,1,3.15,26,60,TRUE,TRUE,TRUE,TRUE,12.7747058823529,TRUE,FALSE
IPOJUCA,2025,2025-07-17,261420401A,Centro,SIRINHAÉM,19.951784019321,27.24,34,1,9.86,34,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-18,261420401A,Centro,SIRINHAÉM,19.951784019321,23.68,27,1,23.08,27,60,TRUE,TRUE,TRUE,TRUE,19.2552083333333,TRUE,FALSE
IPOJUCA,2025,2025-07-19,261420401A,Centro,SIRINHAÉM,19.951784019321,1.02,27,1,0.42,27,60,TRUE,TRUE,TRUE,TRUE,22.355,TRUE,FALSE
IPOJUCA,2025,2025-07-20,261420401A,Centro,SIRINHAÉM,19.951784019321,5.98,33,1,1.38,33,60,TRUE,TRUE,TRUE,TRUE,17.185375,TRUE,FALSE
IPOJUCA,2025,2025-07-21,261420401A,Centro,SIRINHAÉM,19.951784019321,7.48,31,1,2.36,31,60,TRUE,TRUE,TRUE,TRUE,16.728,TRUE,FALSE
